22. Decembre 2009 | 15:35:56 | Current JunkBuster configuration:
22. Decembre 2009 | 15:51:50 | - Jetpack = 1
22. Decembre 2009 | 15:51:50 | - HealthHack = 1
22. Decembre 2009 | 15:51:50 | - ArmourHack = 1
22. Decembre 2009 | 15:51:50 | - DriveBy = 0
22. Decembre 2009 | 15:51:50 | - Spam = 1
22. Decembre 2009 | 15:51:50 | - CommandSpam = 1
22. Decembre 2009 | 15:51:50 | - BadWords = 0
22. Decembre 2009 | 15:51:50 | - CarJackHack = 1
22. Decembre 2009 | 15:51:50 | - TeleportHack = 1
22. Decembre 2009 | 15:51:50 | - MaxPing = 600
22. Decembre 2009 | 15:51:50 | - SpectateHack = 1
22. Decembre 2009 | 15:51:50 | - Blacklist = 1
22. Decembre 2009 | 15:51:50 | - IpBans = 1
22. Decembre 2009 | 15:51:50 | - TempBans = 1
22. Decembre 2009 | 15:51:50 | - SpawnKill = 3
22. Decembre 2009 | 15:51:50 | - CapsLock = 1
22. Decembre 2009 | 15:51:50 | - 3DSpeed = 0
22. Decembre 2009 | 15:51:50 | - MaxSpeed = 220
22. Decembre 2009 | 15:51:50 | - AdminImmunity = 1
22. Decembre 2009 | 15:51:50 | - Advertisement = 0
22. Decembre 2009 | 15:51:50 | - FreezeUpdate = 0
22. Decembre 2009 | 15:51:50 | - SpawnTime = 10
22. Decembre 2009 | 15:51:50 | JunkBuster configuration has been saved to file.
22. Decembre 2009 | 15:55:51 | Suspected player with speedhack: MoNeYPiMp6 (0), 224 KM/H with Turismo.
22. Decembre 2009 | 15:55:58 | Suspected player with speedhack: MoNeYPiMp6 (0), 224 KM/H with Turismo.
22. Decembre 2009 | 15:56:11 | MoNeYPiMp6 (127.0.0.1) has been banned for Speedhack.
22. Decembre 2009 | 15:58:47 | Current JunkBuster configuration:
22. Decembre 2009 | 15:58:47 | - WeaponHack = 1
22. Decembre 2009 | 15:58:47 | - MoneyHack = 1
22. Decembre 2009 | 15:58:47 | - Jetpack = 1
22. Decembre 2009 | 15:58:47 | - HealthHack = 1
22. Decembre 2009 | 15:58:47 | - ArmourHack = 1
22. Decembre 2009 | 15:58:47 | - DriveBy = 0
22. Decembre 2009 | 15:58:47 | - Spam = 1
22. Decembre 2009 | 15:58:47 | - CommandSpam = 1
22. Decembre 2009 | 15:58:47 | - BadWords = 0
22. Decembre 2009 | 15:58:47 | - CarJackHack = 1
22. Decembre 2009 | 15:58:47 | - TeleportHack = 1
22. Decembre 2009 | 15:58:47 | - MaxPing = 600
22. Decembre 2009 | 15:58:47 | - SpectateHack = 1
22. Decembre 2009 | 15:58:47 | - Blacklist = 1
22. Decembre 2009 | 15:58:47 | - IpBans = 1
22. Decembre 2009 | 15:58:47 | - TempBans = 1
22. Decembre 2009 | 15:58:47 | - SpawnKill = 3
22. Decembre 2009 | 15:58:47 | - CapsLock = 1
22. Decembre 2009 | 15:58:47 | - 3DSpeed = 0
22. Decembre 2009 | 15:58:47 | - MaxSpeed = 220
22. Decembre 2009 | 15:58:47 | - AdminImmunity = 1
22. Decembre 2009 | 15:58:47 | - Advertisement = 0
22. Decembre 2009 | 15:58:47 | - FreezeUpdate = 0
22. Decembre 2009 | 15:58:47 | - SpawnTime = 5
22. Decembre 2009 | 15:58:47 | 1 IP-bans have been loaded.
22. Decembre 2009 | 15:58:47 | 0 temporary bans have been loaded.
22. Decembre 2009 | 15:58:47 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 15:58:47 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 15:58:47 | 41 bad words have been loaded.
22. Decembre 2009 | 15:58:47 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 15:58:47 | JunkBuster has been configurated.
22. Decembre 2009 | 15:58:47 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 15:59:27 | MoNeYPiMp6 has been muted for 120 second(s) because of Spam.
22. Decembre 2009 | 16:00:58 | Suspected player with speedhack: MoNeYPiMp6 (0), 1108 KM/H with Turismo.
22. Decembre 2009 | 16:02:40 | Suspected player with speedhack: MoNeYPiMp6 (0), 222 KM/H with Turismo.
22. Decembre 2009 | 16:03:26 | Suspected player with speedhack: MoNeYPiMp6 (0), 248 KM/H with Turismo.
22. Decembre 2009 | 16:05:06 | MoNeYPiMp6 (127.0.0.1) has been banned for Speedhack.
22. Decembre 2009 | 16:06:21 | Current JunkBuster configuration:
22. Decembre 2009 | 16:06:21 | - WeaponHack = 1
22. Decembre 2009 | 16:06:21 | - MoneyHack = 1
22. Decembre 2009 | 16:06:21 | - Jetpack = 1
22. Decembre 2009 | 16:06:21 | - HealthHack = 1
22. Decembre 2009 | 16:06:21 | - ArmourHack = 1
22. Decembre 2009 | 16:06:21 | - DriveBy = 0
22. Decembre 2009 | 16:06:21 | - Spam = 1
22. Decembre 2009 | 16:06:21 | - CommandSpam = 1
22. Decembre 2009 | 16:06:21 | - BadWords = 0
22. Decembre 2009 | 16:06:21 | - CarJackHack = 1
22. Decembre 2009 | 16:06:21 | - TeleportHack = 1
22. Decembre 2009 | 16:06:21 | - MaxPing = 600
22. Decembre 2009 | 16:06:21 | - SpectateHack = 1
22. Decembre 2009 | 16:06:21 | - Blacklist = 1
22. Decembre 2009 | 16:06:21 | - IpBans = 1
22. Decembre 2009 | 16:06:21 | - TempBans = 1
22. Decembre 2009 | 16:06:21 | - SpawnKill = 3
22. Decembre 2009 | 16:06:21 | - CapsLock = 1
22. Decembre 2009 | 16:06:21 | - 3DSpeed = 0
22. Decembre 2009 | 16:06:21 | - MaxSpeed = 220
22. Decembre 2009 | 16:06:21 | - AdminImmunity = 1
22. Decembre 2009 | 16:06:21 | - Advertisement = 0
22. Decembre 2009 | 16:06:21 | - FreezeUpdate = 0
22. Decembre 2009 | 16:06:21 | - SpawnTime = 5
22. Decembre 2009 | 16:06:21 | 1 IP-bans have been loaded.
22. Decembre 2009 | 16:06:21 | 0 temporary bans have been loaded.
22. Decembre 2009 | 16:06:21 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 16:06:21 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 16:06:21 | 41 bad words have been loaded.
22. Decembre 2009 | 16:06:21 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 16:06:21 | JunkBuster has been configurated.
22. Decembre 2009 | 16:06:21 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 16:21:28 | Current JunkBuster configuration:
22. Decembre 2009 | 16:21:28 | - WeaponHack = 1
22. Decembre 2009 | 16:21:28 | - MoneyHack = 1
22. Decembre 2009 | 16:21:28 | - Jetpack = 1
22. Decembre 2009 | 16:21:28 | - HealthHack = 1
22. Decembre 2009 | 16:21:28 | - ArmourHack = 1
22. Decembre 2009 | 16:21:28 | - DriveBy = 0
22. Decembre 2009 | 16:21:28 | - Spam = 1
22. Decembre 2009 | 16:21:28 | - CommandSpam = 1
22. Decembre 2009 | 16:21:28 | - BadWords = 0
22. Decembre 2009 | 16:21:28 | - CarJackHack = 1
22. Decembre 2009 | 16:21:28 | - TeleportHack = 1
22. Decembre 2009 | 16:21:28 | - MaxPing = 600
22. Decembre 2009 | 16:21:28 | - SpectateHack = 1
22. Decembre 2009 | 16:21:28 | - Blacklist = 1
22. Decembre 2009 | 16:21:28 | - IpBans = 1
22. Decembre 2009 | 16:21:28 | - TempBans = 1
22. Decembre 2009 | 16:21:28 | - SpawnKill = 3
22. Decembre 2009 | 16:21:28 | - CapsLock = 1
22. Decembre 2009 | 16:21:28 | - 3DSpeed = 0
22. Decembre 2009 | 16:21:28 | - MaxSpeed = 220
22. Decembre 2009 | 16:21:28 | - AdminImmunity = 1
22. Decembre 2009 | 16:21:28 | - Advertisement = 0
22. Decembre 2009 | 16:21:28 | - FreezeUpdate = 0
22. Decembre 2009 | 16:21:28 | - SpawnTime = 5
22. Decembre 2009 | 16:21:28 | 1 IP-bans have been loaded.
22. Decembre 2009 | 16:21:28 | 0 temporary bans have been loaded.
22. Decembre 2009 | 16:21:28 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 16:21:28 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 16:21:28 | 41 bad words have been loaded.
22. Decembre 2009 | 16:21:28 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 16:21:28 | JunkBuster has been configurated.
22. Decembre 2009 | 16:21:28 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 17:00:04 | Current JunkBuster configuration:
22. Decembre 2009 | 17:00:04 | - WeaponHack = 1
22. Decembre 2009 | 17:00:04 | - MoneyHack = 1
22. Decembre 2009 | 17:00:04 | - Jetpack = 1
22. Decembre 2009 | 17:00:04 | - HealthHack = 1
22. Decembre 2009 | 17:00:04 | - ArmourHack = 1
22. Decembre 2009 | 17:00:04 | - DriveBy = 0
22. Decembre 2009 | 17:00:04 | - Spam = 1
22. Decembre 2009 | 17:00:04 | - CommandSpam = 1
22. Decembre 2009 | 17:00:04 | - BadWords = 0
22. Decembre 2009 | 17:00:04 | - CarJackHack = 1
22. Decembre 2009 | 17:00:04 | - TeleportHack = 1
22. Decembre 2009 | 17:00:04 | - MaxPing = 600
22. Decembre 2009 | 17:00:04 | - SpectateHack = 1
22. Decembre 2009 | 17:00:04 | - Blacklist = 1
22. Decembre 2009 | 17:00:04 | - IpBans = 1
22. Decembre 2009 | 17:00:04 | - TempBans = 1
22. Decembre 2009 | 17:00:04 | - SpawnKill = 3
22. Decembre 2009 | 17:00:04 | - CapsLock = 1
22. Decembre 2009 | 17:00:04 | - 3DSpeed = 0
22. Decembre 2009 | 17:00:04 | - MaxSpeed = 220
22. Decembre 2009 | 17:00:04 | - AdminImmunity = 1
22. Decembre 2009 | 17:00:04 | - Advertisement = 0
22. Decembre 2009 | 17:00:04 | - FreezeUpdate = 0
22. Decembre 2009 | 17:00:04 | - SpawnTime = 5
22. Decembre 2009 | 17:00:04 | 1 IP-bans have been loaded.
22. Decembre 2009 | 17:00:04 | 0 temporary bans have been loaded.
22. Decembre 2009 | 17:00:04 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 17:00:04 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 17:00:04 | 41 bad words have been loaded.
22. Decembre 2009 | 17:00:04 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 17:00:04 | JunkBuster has been configurated.
22. Decembre 2009 | 17:00:04 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 17:24:04 | crap (127.0.0.1) has been banned for Health hack.
22. Decembre 2009 | 17:25:38 | Current JunkBuster configuration:
22. Decembre 2009 | 17:25:38 | - WeaponHack = 1
22. Decembre 2009 | 17:25:38 | - MoneyHack = 1
22. Decembre 2009 | 17:25:38 | - Jetpack = 1
22. Decembre 2009 | 17:25:38 | - HealthHack = 1
22. Decembre 2009 | 17:25:38 | - ArmourHack = 1
22. Decembre 2009 | 17:25:38 | - DriveBy = 0
22. Decembre 2009 | 17:25:38 | - Spam = 1
22. Decembre 2009 | 17:25:38 | - CommandSpam = 1
22. Decembre 2009 | 17:25:38 | - BadWords = 0
22. Decembre 2009 | 17:25:38 | - CarJackHack = 1
22. Decembre 2009 | 17:25:38 | - TeleportHack = 1
22. Decembre 2009 | 17:25:38 | - MaxPing = 600
22. Decembre 2009 | 17:25:38 | - SpectateHack = 1
22. Decembre 2009 | 17:25:38 | - Blacklist = 1
22. Decembre 2009 | 17:25:38 | - IpBans = 1
22. Decembre 2009 | 17:25:38 | - TempBans = 1
22. Decembre 2009 | 17:25:38 | - SpawnKill = 3
22. Decembre 2009 | 17:25:38 | - CapsLock = 1
22. Decembre 2009 | 17:25:38 | - 3DSpeed = 0
22. Decembre 2009 | 17:25:38 | - MaxSpeed = 220
22. Decembre 2009 | 17:25:38 | - AdminImmunity = 1
22. Decembre 2009 | 17:25:38 | - Advertisement = 0
22. Decembre 2009 | 17:25:38 | - FreezeUpdate = 0
22. Decembre 2009 | 17:25:38 | - SpawnTime = 5
22. Decembre 2009 | 17:25:38 | 1 IP-bans have been loaded.
22. Decembre 2009 | 17:25:38 | 0 temporary bans have been loaded.
22. Decembre 2009 | 17:25:38 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 17:25:38 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 17:25:38 | 41 bad words have been loaded.
22. Decembre 2009 | 17:25:38 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 17:25:38 | JunkBuster has been configurated.
22. Decembre 2009 | 17:25:38 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 19:45:21 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:21 | 0 temporary bans have been loaded.
22. Decembre 2009 | 19:45:21 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 19:45:21 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 19:45:21 | 41 bad words have been loaded.
22. Decembre 2009 | 19:45:21 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 19:45:21 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:45:53 | 0 temporary bans have been loaded.
22. Decembre 2009 | 19:45:53 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 19:45:53 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 19:45:53 | 41 bad words have been loaded.
22. Decembre 2009 | 19:45:53 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 19:45:53 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:46:46 | 0 temporary bans have been loaded.
22. Decembre 2009 | 19:46:46 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 19:46:46 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 19:46:46 | 41 bad words have been loaded.
22. Decembre 2009 | 19:46:46 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 19:46:46 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 19:47:06 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:47:06 | 0 temporary bans have been loaded.
22. Decembre 2009 | 19:47:06 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 19:47:06 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 19:47:06 | 41 bad words have been loaded.
22. Decembre 2009 | 19:47:06 | 4 forbidden weapons have been loaded.
22. Decembre 2009 | 19:47:06 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 19:49:57 | Suspected player with speedhack: lol (0), 224 KM/H with Turismo.
22. Decembre 2009 | 19:50:40 | Could not give 'lol' weapon Rocket Launcher (35) because it is forbidden!
22. Decembre 2009 | 19:54:39 | 1 IP-bans have been loaded.
22. Decembre 2009 | 19:54:39 | 0 temporary bans have been loaded.
22. Decembre 2009 | 19:54:39 | 1 whitelist entries have been loaded.
22. Decembre 2009 | 19:54:39 | 4 blacklist entries have been loaded.
22. Decembre 2009 | 19:54:39 | 41 bad words have been loaded.
22. Decembre 2009 | 19:54:39 | 0 forbidden weapons have been loaded.
22. Decembre 2009 | 19:54:39 | JunkBuster has successfully been loaded.
22. Decembre 2009 | 19:56:57 | Suspected player with speedhack: lol (0), 224 KM/H with Turismo.
22. Decembre 2009 | 19:58:01 | Suspected player with speedhack: lol (0), 388 KM/H with Turismo.
22. Decembre 2009 | 20:00:02 | Suspected player with speedhack: lol (0), 1046 KM/H with Turismo.
22. Decembre 2009 | 20:00:34 | lol (127.0.0.1) has been banned for Speedhack.
